1451768503 -111
1451934880 -109
1451939229 -109
1451942217 -113
1451943322 -113
1451952448 -20
1452019196 -19
1452020623 -240
1452024103 -240
1452024990 -260
1452028116 -240
1452029170 -240
1452029849 -228
1452031797 -210
1452039679 -207
1452040229 -202
1452041586 -204
1452043578 -112
1452122615 -114
1452139068 -121
1452203157 159
1452208143 67
1452214638 91
1452278251 191
1452293308 191
1452370853 288
1452558057 289
1452558443 289
1452608438 308
1452608512 728
1452630998 738
1452632910 738
1452694355 739
1452711218 739
1452804830 752
1452806859 758
1452811100 975
1452838918 994
1452873636 966
1452874845 959
1452876603 -1342
1452876653 -1313
1452880888 -1307
1452888896 -1027
1452913017 -1016
1453243846 -1016
1453251938 -1008
1453328306 -997
1453330591 -880
1453421632 -877
1453482397 -877
1453488839 -585
1453492903 -600
1453500797 -69
1453506414 1
1453510668 6
1453512751 759
1453516504 759
1453532624 754
1453659987 -30490
1453743651 -30483
1453748220 -30417
1453760488 -30387
1453761380 -30387
1453770485 -29531
1453780925 -29508
1453838253 -29284
1453841442 -29277
1453844425 -29281
1453860920 -29293
1453920759 -29270
1453923064 -29212
1453930269 -29212
1453933411 -29210
1453935420 -29011
1453938670 -28872
1453948574 -28869
1454003313 -28632
1454005656 -28528
1454007879 -28528
1454013353 -28451
1454029159 -18451
1454032681 -18474
1454047959 -18090
1454050911 -18087
1454052061 -18471
1454091877 -18085
1454094172 -18052
1454096430 -18038
1454097245 -18024
1454098278 -18020
1454099506 -17651
1454105930 -17616
1454116815 -17539
1454259757 -17539
1454260644 -17539
1454263118 -17539
1454268040 -17547
1454316862 -17369
1454348453 -17046
1454354456 -16983
1454355308 -16978
1454356406 -16901
1454360181 -16901
1454361264 -16893
1454362462 -16696
1454367342 -16673
1454369174 -16470
1454370154 -16418
1454372598 -16411
1454373868 -16411
1454375427 -16244
1454375505 -14698
1454376686 -14691
1454382248 -14638
1454383973 -14569
1454397711 -14354
1454438674 -14352
1454442789 -13947
1454446267 -13928
1454448715 -13931
1454450944 -13871
1454453515 -13839
1454453752 -13839
1454454016 -13822
1454454125 -13857
1454457833 -13857
1454458093 -13830
1454458234 -19219
1454460292 -13822
1454533109 -19219
1454536552 -19222
1454539177 -18797
1454539227 -19718
1454562817 -19718
1454613975 -19635
1454619044 -19551
1454624480 -19430
1454626678 -19310
1454629489 -19315
1454694395 -19315
1454719341 -19305
1454959043 -19301
1454962063 -19302
1454970586 -19141
1454976781 -18640
1454990156 -18637
1454993893 -18478
1454996820 -18460
1455043549 -18460
1455056721 -18494
1455062203 -18487
1455064980 -18484
1455080132 -18494
1455127432 -18153
1455131790 -18153
1455133563 -18151
1455138476 -18167
1455139405 -18134
1455141994 -18127
1455218427 -17703
1455222257 -17731
1455226051 -17562
1455240092 -17505
1455242358 -17489
1455307460 -17338
1455316070 -18063
1455318266 -18028
1455321362 -17887
1455384576 -17728
1455399572 -17726
1455558499 -17691
1455578760 -17719
1455643814 -17913
1455656086 -17909
1455728873 -17892
1455729972 -17887
1455737363 -17887
1455740421 -17906
1455746749 -17910
1455749610 -16940
1455751724 -17029
1455754352 -17024
1455755718 -17020
1455823190 -17411
1455824474 -18475
1455827195 -18475
1455831138 -18479
1455832988 -18496
1455837628 -18495
1455840139 -17665
